,stock_id,date,open,high,low,close,volume,index_value,ticker
3623,5,2020-09-25,247.54,257.9921,244.13,254.82,113001808,-2.46,META
3624,5,2020-09-18,270.95,276.64,250.05,252.53,131192162,-2.42,META
3625,5,2020-09-11,271.28,279.3,262.64,266.61,91511318,-3.39,META
3626,5,2020-09-04,293.95,303.6,271.14,282.73,121635138,-2.28,META
3627,5,2020-08-28,271.07,304.67,268.7701,293.66,182301718,-2.2,META
3628,5,2020-08-21,262.5,270.49,259.26,267.01,91123323,-2.82,META
3629,5,2020-08-14,268.04,273.86,255.13,261.24,112082116,-3.53,META
3630,5,2020-08-07,252.65,278.89,247.43,268.44,171413972,-3.56,META
3631,5,2020-07-31,231.46,255.85,229.0,253.67,114566855,-3.98,META
3632,5,2020-07-24,240.06,246.91,226.9,230.71,94969728,-4.24,META
3633,5,2020-07-17,247.01,250.15,232.03,242.03,104220779,-4.83,META
3634,5,2020-07-10,233.76,247.65,232.27,245.07,129047378,-4.17,META
3635,5,2020-06-26,238.56,245.19,215.4,216.08,158818879,-4.86,META
3636,5,2020-06-19,225.09,240.83,224.8,238.79,96018823,-5.05,META
3637,5,2020-06-12,229.03,241.21,223.55,228.58,112449630,-5.61,META
3638,5,2020-06-05,224.59,233.0,223.5,230.77,88315058,-6.31,META
3639,5,2020-05-29,239.77,240.9,221.13,225.09,120621360,-6.66,META
3640,5,2020-05-22,212.15,237.2,210.94,234.91,183676949,-6.88,META
3641,5,2020-05-15,210.89,215.28,200.69,210.88,84863255,-7.32,META
3642,5,2020-05-08,200.2,213.21,198.76,212.35,89854883,-7.3,META
3643,5,2020-05-01,192.66,209.69,182.56,202.27,173528954,-8.12,META
3644,5,2020-04-24,177.41,190.41,168.34,190.07,124626255,-8.09,META
3645,5,2020-04-17,173.67,181.23,169.45,179.24,102358152,-7.96,META
3646,5,2020-04-03,159.18,170.93,150.83,154.18,112568693,-5.53,META
3647,5,2020-03-27,149.66,164.0,142.25,156.79,146914295,-3.64,META
3648,5,2020-03-20,152.32,159.93,137.1,149.73,183359861,-0.91,META
3649,5,2020-03-13,169.6,178.29,154.34,170.28,153158998,1.24,META
3650,5,2020-03-06,194.03,197.24,176.26,181.09,119888507,1.33,META
3651,5,2020-02-28,201.8,203.65,181.82,192.47,115334874,1.57,META
3652,5,2020-02-21,213.55,218.77,208.83,210.18,54972785,1.57,META
3653,5,2020-02-14,211.52,214.93,206.51,214.18,76839236,1.64,META
3654,5,2020-02-07,203.44,212.82,202.5,212.33,70487616,1.91,META
3655,5,2020-01-31,213.1,224.2,201.06,201.91,140969912,1.99,META
3656,5,2020-01-24,222.16,222.75,216.11,217.94,49475645,1.64,META
3657,5,2020-01-17,219.6,222.63,218.63,222.14,63568726,1.57,META
3658,5,2020-01-10,206.7,219.88,206.52,218.06,70485432,1.29,META
3659,5,2020-01-03,207.86,210.4,203.6,208.67,42785320,1.73,META
3660,5,2019-12-27,206.7,208.93,205.0,208.1,39055374,2.02,META
3661,5,2019-12-20,195.27,207.71,194.81,206.3,92508494,2.02,META
3662,5,2019-12-13,200.65,203.66,193.17,194.11,72113619,1.58,META
3663,5,2019-12-06,202.13,202.18,195.08,201.05,55051004,1.2,META
3664,5,2019-11-29,199.52,203.8,198.04,201.64,47780905,1.15,META
3665,5,2019-11-22,194.56,200.0,193.05,198.82,69707440,2.61,META
3666,5,2019-11-15,189.93,195.7,188.54,195.1,57853151,1.56,META
3667,5,2019-11-08,194.55,197.37,189.47,190.84,61524047,1.68,META
3668,5,2019-11-01,187.2,198.09,185.08,193.62,119684983,1.74,META
3669,5,2019-10-25,187.04,190.65,181.5,187.89,59914255,1.65,META
3670,5,2019-10-18,184.2,191.49,182.57,185.85,59253667,1.68,META
3671,5,2019-10-11,180.0,186.49,177.72,184.19,51073295,1.6,META
3672,5,2019-10-04,177.87,180.98,173.09,180.45,71972843,1.69,META
3673,5,2019-09-27,189.34,190.1,175.66,177.1,82429981,1.75,META
3674,5,2019-09-20,186.93,193.1,185.54,189.93,58976775,1.51,META
3675,5,2019-09-13,187.73,190.93,184.55,187.19,64800820,1.74,META
3676,5,2019-09-06,184.0,191.36,182.11,187.49,50230199,1.85,META
3677,5,2019-08-30,179.4,186.8,178.24,185.67,53474711,1.58,META
3678,5,2019-08-23,186.01,187.5,176.66,177.75,56357531,1.82,META
